"A-204","A-673","A549/ATCC","ASPS-1","CHA-59","CHLA-10","CHLA-25","CHLA-258","CHLA-32","CHLA-9","CHP-100","COG-E-352","DDLS","ES-1","ES-2","ES-3","ES-4","ES-6","ES-7","ES-8","EW8","G-401","hMSC","HOS","Hs 132.T","Hs 706.T","Hs 729","Hs 913.T","HSSY-II","HT-1080","Hu09","JJ012","KHOS NP","KHOS-240S","KHOS-312H","LS141","MES-SA","MES-SA Dx5","MHM-25","MHM-8","MPNST","NHAC-kn","NHDF","NHOst","OHS","RD","RD-ES","Rh18","Rh28","Rh28 PX11/LPAM","Rh30","Rh36","Rh41","SAOS-2","SJCRH30(RMS 13)","SJSA-1","SK-ES-1","SK-LMS-1","SK-N-MC","SK-UT-1","SK-UT-1B","SkMC","ST8814","SW 1353","SW 684","SW 982","SYO-1","TC-32","TC-71","U-2 OS","VA-ES-BJ"
5,5.368556231,5.3558975605,5,NA,5,5.068542129,5.563837353,5.020907099,NA,5.247951552,5.785156152,5.183096161,5.514278574,5,5.031517051,5.718966633,5,5.677780705,5.176525771,5.519993057,5.906578315,NA,5.061980903,5,5,5,5,5.049635146,5.477555766,5,NA,5,5,5,5.017728767,5.107348966,5.36251027,5,5,5,NA,NA,NA,5.379863945,5.1394130235,5,5,5,NA,5,5,5,5.042392713,5.296708622,5,5.279014256,5.268411235,5.528708289,5.110698297,5.694648631,NA,5,5.169411331,5,5.490797478,5.377785977,5.826813732,5.571865206,5.104577454,5.111820506
7.931814138,8.145693958,7.724958392375,7.071604148,NA,8.062983893,7.946921557,7.764471553,7.721246399,NA,8.094743951,7.903089987,8.189767482,8.166215625,8.001304842,7.943095149,8.272458743,8.139661993,8.126098402,8.17327748,8.089909454,8.231361899,NA,8.053547735,5,7.416801226,7.68613278,8.079354999,8.153044675,8.019542108,7.970616222,NA,7.575118363,7.759450752,7.795880017,7.943095149,8.245651664,5.302770657,8.015472687,7.943095149,7.663540266,NA,NA,NA,7.978810701,7.94539668466667,8.14691047,8.031984286,7.946921557,NA,8.032452024,8.247183569,7.958607315,8.060480747,8.031984286,7.89279003,8.060980224,7.742321425,8.226213555,7.903089987,8.081445469,NA,7.747146969,7.638272164,7.463441557,7.4710833,7.943095149,8.721246399,8.294992041,7.826813732,7.705533774
5.627087997,5.151195299,5.124938737,5,NA,5.860120914,5.511449283,5.876148359,6.476253533,NA,5.057000407,5.89279003,7.056505484,5.804100348,5.580044252,5.785156152,6.290730039,6.552841969,6.126679398,5.779891912,5.815308569,6.721246399,NA,5.716698771,5,5,5,5,6.653647026,5,5.396855627,NA,5,5,5,5.218244625,5.987162775,5,5.653647026,5.49757288,5,NA,NA,NA,5.605548319,5.2916148615,5.886056648,5.649751982,5,NA,5.764471553,5.307153081,5.562249437,5,5.307153081,5,5.88941029,5,5.850780887,5.251037139,6.12090412,NA,5.417936637,5.991399828,5,5.643974143,6.289036881,6.32330639,5.76700389,5.477555766,5.818156412
7.4867824,7.179142011,6.95980945657143,6.328827157,NA,7.326058001,7.281498311,6.826813732,7.392544977,NA,7.42365865,7.548213564,6.835647144,7.559090918,7.721246399,7.705533774,7.19859629,7.121478204,7.665546249,7.617982957,NA,8.160521953,NA,7.083019953,5.698970004,6.581698709,7.216811309,6.701146924,8.13667714,6.555955204,7.630784143,NA,6.218244625,6.257274869,6.136082623,7.194499142,7.419075024,7.110138279,6.401209493,6.714442691,6.995678626,NA,NA,NA,7.067526235,6.915871018,7.573488739,6.89279003,6.585026652,NA,7.051098239,6.673664139,7.272458743,6.679853714,7.137272472,6.311580178,7.759450752,6.399027104,7.688246139,7.416801226,7.853871964,NA,7.381951903,7.194499142,6.571865206,6.764471553,8.254144805,8.320572103,7.809668302,7.171340103,7.504455662
6.006123085,8.041914151,7.27545682533333,5,NA,7.991399828,7.617982957,7.225483034,7.328827157,NA,7.527243551,8.095284455,5,8.111259039,7.739928612,7.279014256,6.48148606,7.492144128,8.209714836,8.137868621,8.562249437,7.095284455,NA,7.71219827,5,5,6.074687909,6.779891912,7.872895202,7.212539525,6.549750892,NA,6.008773924,7.14327111,6.896196279,6.108462542,7.121478204,7.243363892,6.555955204,6.809668302,7.301029996,NA,NA,NA,7.935542011,7.197386522,7.779891912,5,6.261219442,NA,7.673664139,7.211831629,7.73754891,8.031984286,8.306273051,6.581698709,5.017728767,7.446116973,8.258848401,7.370590401,6.991399828,NA,6.754487332,7.411168274,5,7.036212173,7.966576245,7.759450752,7.982966661,NA,7.790484985
5.739928612,5.777283529,5.096189883,5,NA,5.950781977,5.673664139,5.692503962,6.067019178,NA,5.537602002,6.076238039,5.54668166,6.07007044,5.896196279,5.928117993,6.166852888,5.818156412,6.294136288,5.991399828,5.841637508,6.645891561,NA,5.785156152,5,5,5.59345982,6.003050752,6.388276692,5,5.630784143,NA,5,5.016824928,5,5.632644079,5.00656377,5,5.152427341,5.238824187,5,NA,NA,NA,6.008330993,5.790377448,5.860120914,5,5,NA,5.853871964,5.966576245,5.882728704,5.229147988,6.021363052,5,6.15864053,5.337242168,6.178486472,5.970616222,5.876148359,NA,5.083546051,5,5,5.838631998,6.238072162,6.391473966,6.261219442,5,5.777283529
5.906578315,6.681936665,5.48428901516667,5.366531544,5.428291168,5.632644079,5.296708622,5.26520017,5.317854924,5.55129368,6.008330993,5.402304814,5.718966633,5.89279003,5.723538196,6.196542884,6.591760035,5.869666232,5.869666232,5.91721463,6.029188389,6.206209615,NA,5.739928612,NA,5.653647026,5.835647144,5.815308569,5.779891912,5.853871964,5.787812396,NA,5.826813732,5.718966633,5.818156412,5.725842151,5.659555885,5.446116973,5.595166283,5.730487056,5.66756154,NA,NA,NA,5.779891912,6.038578906,5.707743929,5.772113295,5.777283529,6.36251027,5.764471553,5.723538196,6.258848401,5.739928612,6.168770306,5.756961951,6.364516253,5.688246139,6.099632871,5.679853714,6.064492734,NA,5.552841969,5.677780705,5.455931956,5.769551079,6.602059991,6.254925208,6.236572006,5.946921557,5.966576245
8.484126156,8.66756154,7.72369014075,7,NA,8.549750892,8.220403509,8.110138279,8.294992041,NA,8.261219442,8.11463878,8.559090918,8.588380294,8.598599459,8.308034897,8.634512015,8.769551079,8.707743929,8.578396073,8.317854924,8.823908741,NA,8.441291429,7.573488739,8.716698771,8.559090918,8.609064893,9.328827157,8.225483034,8.185086819,NA,8.026410377,7.869666232,7.850780887,8.66756154,8.692503962,7,8.88941029,8.643974143,7.906578315,NA,NA,NA,8.725842151,8.58202158866667,8.279014256,8.292429824,8.106238238,NA,8.696803943,8.581698709,8.434152181,8.705533774,8.586700236,8.274088368,8.548213564,8.04431225,8.71219827,8.450996738,8.607303047,NA,8.253365801,8.714442691,8.671620397,9.042871802,8.716698771,8.739928612,8.455931956,8.098541679,8.913640169
6.879426069,7.356547324,6.78555904957143,5,NA,6.559090918,6.860120914,6.627087997,6.232844134,NA,7.179798541,7.331614083,7.598599459,7.707743929,6.978810701,6.913640169,7.092051478,7.41453927,7.22475374,7.177831921,7.469800302,7.358525889,NA,7.117475462,5,5,6.987162775,7.076755981,7.684029655,6.982966661,5.777283529,NA,5.89279003,5.322393047,5.515700161,7.467245621,6.517126416,6.396855627,6.623423043,6.795880017,6.148741651,NA,NA,NA,6.244887734,6.499837671,6.293282218,6.081445469,5,NA,7.289036881,6.795880017,8.118045029,6.954677021,8.142064735,6.397940009,7.289036881,6.069560405,8.314258261,7.367542708,7.512861625,NA,6.879426069,7.251037139,5,7.238824187,7.88941029,8.293282218,7.591760035,6.175874166,6.647817482
8.518557371,8.818156412,7.28748820025,6.41453927,NA,8.818156412,8.818156412,8.818156412,8.818156412,NA,8.818156412,8.785156152,8.73754891,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,NA,8.818156412,5,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,8.71219827,NA,7.995678626,7.978810701,8.038104526,8.709965389,8.688246139,5.688246139,8.818156412,8.818156412,8.116338565,NA,NA,NA,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,NA,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,7.962573502,8.818156412,8.203425667,8.818156412,8.521433504,8.818156412,NA,8.148741651,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,8.818156412,8.089375595,8.818156412
